PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
2	1	""	""	1	1778930514	1778930514	´	180
2	1	""	""	2	1778930514	1778930515	shift	1045
2	1	""	""	3	1778930515	1778930515	A	65
2	1	""	""	4	1778930515	1778930515	g	103
2	1	""	""	5	1778930515	1778930515	u	117
2	1	""	""	6	1778930515	1778930515	a	97
2	1	""	""	7	1778930516	1778930517		46
2	1	""	""	8	1778930517	1778930517	space	1047
2	1	""	""	9	1778930517	1778930517	shift	1045
2	1	""	""	10	1778930517	1778930517	T	84
2	1	""	""	11	1778930517	1778930517	e	101
2	1	""	""	12	1778930518	1778930518	r	114
2	1	""	""	13	1778930518	1778930518	r	114
2	1	""	""	14	1778930518	1778930518	a	97
2	1	""	""	15	1778930519	1778930519		46
2	1	""	""	16	1778930519	1778930519	space	1047
2	1	""	""	17	1778930519	1778930520	shift	1045
2	1	""	""	18	1778930520	1778930520	F	70
2	1	""	""	19	1778930520	1778930520	o	111
2	1	""	""	20	1778930520	1778930520	g	103
2	1	""	""	21	1778930520	1778930520	o	111
2	1	""	""	22	1778930521	1778930521		46
2	1	""	""	23	1778930521	1778930522	space	1047
2	1	""	""	24	1778930522	1778930522	shift	1045
2	1	""	""	25	1778930522	1778930522	A	65
2	1	""	""	26	1778930522	1778930522	r	114
2	1	""	""	27	1778930522	1778930522		46
2	1	""	""	28	1778930523	1778930523	space	1047
2	1	""	""	29	1778930523	1778930523	shift	1045
2	1	""	""	30	1778930523	1778930523	A	65
2	1	""	""	31	1778930523	1778930523	n	110
2	1	""	""	32	1778930523	1778930523	t	116
2	1	""	""	33	1778930523	1778930524	i	105
2	1	""	""	34	1778930524	1778930524	g	103
2	1	""	""	35	1778930524	1778930524	a	97
2	1	""	""	36	1778930524	1778930524	m	109
2	1	""	""	37	1778930524	1778930524	e	101
2	1	""	""	38	1778930524	1778930524	n	110
2	1	""	""	39	1778930524	1778930524	t	116
2	1	""	""	40	1778930524	1778930524	e	101
2	1	""	""	41	1778930524	1778930524	space	1047
2	1	""	""	42	1778930525	1778930525	a	97
2	1	""	""	43	1778930525	1778930525	s	115
2	1	""	""	44	1778930525	1778930525	space	1047
2	1	""	""	45	1778930526	1778930526	4	52
2	1	""	""	46	1778930526	1778930526	space	1047
2	1	""	""	47	1778930526	1778930526	n	110
2	1	""	""	48	1778930526	1778930526	a	97
2	1	""	""	49	1778930527	1778930527	ç	231
2	1	""	""	50	1778930527	1778930527	~	126
2	1	""	""	51	1778930527	1778930527	o	111
2	1	""	""	52	1778930527	1778930527	e	101
2	1	""	""	53	1778930527	1778930527	s	115
2	1	""	""	54	1778930527	1778930528	space	1047
2	1	""	""	55	1778930528	1778930529	v	118
2	1	""	""	56	1778930529	1778930529	i	105
2	1	""	""	57	1778930529	1778930529	v	118
2	1	""	""	58	1778930529	1778930529	i	105
2	1	""	""	59	1778930529	1778930529	e	101
2	1	""	""	60	1778930530	1778930530	backspace	1004
2	1	""	""	61	1778930530	1778930530	a	97
2	1	""	""	62	1778930530	1778930530	m	109
2	1	""	""	63	1778930531	1778930531	e	101
2	1	""	""	64	1778930531	1778930531	backspace	1004
2	1	""	""	65	1778930531	1778930531	space	1047
2	1	""	""	66	1778930531	1778930531	e	101
2	1	""	""	67	1778930532	1778930532	m	109
2	1	""	""	68	1778930532	1778930532	space	1047
2	1	""	""	69	1778930532	1778930532	h	104
2	1	""	""	70	1778930532	1778930532	a	97
2	1	""	""	71	1778930532	1778930533	r	114
2	1	""	""	72	1778930533	1778930533	m	109
2	1	""	""	73	1778930533	1778930533	o	111
2	1	""	""	74	1778930533	1778930533	n	110
2	1	""	""	75	1778930533	1778930533	i	105
2	1	""	""	76	1778930533	1778930533	a	97
2	1	""	""	77	1778930534	1778930534	,	44
2	1	""	""	78	1778930534	1778930534	space	1047
2	1	""	""	79	1778930534	1778930534	m	109
2	1	""	""	80	1778930534	1778930534	a	97
2	1	""	""	81	1778930534	1778930534	s	115
2	1	""	""	82	1778930534	1778930534	space	1047
2	1	""	""	83	1778930534	1778930535	t	116
2	1	""	""	84	1778930535	1778930535	u	117
2	1	""	""	85	1778930535	1778930535	d	100
2	1	""	""	86	1778930535	1778930535	o	111
2	1	""	""	87	1778930535	1778930535	space	1047
2	1	""	""	88	1778930535	1778930535	m	109
2	1	""	""	89	1778930535	1778930535	u	117
2	1	""	""	90	1778930536	1778930536	f	102
2	1	""	""	91	1778930536	1778930536	o	111
2	1	""	""	92	1778930536	1778930536	u	117
2	1	""	""	93	1778930536	1778930536	space	1047
2	1	""	""	94	1778930536	1778930537	q	113
2	1	""	""	95	1778930537	1778930537	u	117
2	1	""	""	96	1778930537	1778930537	a	97
2	1	""	""	97	1778930537	1778930537	backspace	1004
2	1	""	""	98	1778930537	1778930537	backspace	1004
2	1	""	""	99	1778930537	1778930537	backspace	1004
2	1	""	""	100	1778930538	1778930538	backspace	1004
2	1	""	""	101	1778930538	1778930538	backspace	1004
2	1	""	""	102	1778930538	1778930538	backspace	1004
2	1	""	""	103	1778930538	1778930538	backspace	1004
2	1	""	""	104	1778930538	1778930538	f	102
2	1	""	""	105	1778930539	1778930539	backspace	1004
2	1	""	""	106	1778930539	1778930539	d	100
2	1	""	""	107	1778930539	1778930539	o	111
2	1	""	""	108	1778930539	1778930539	u	117
2	1	""	""	109	1778930539	1778930539	space	1047
2	1	""	""	110	1778930539	1778930540	q	113
2	1	""	""	111	1778930540	1778930540	u	117
2	1	""	""	112	1778930540	1778930540	a	97
2	1	""	""	113	1778930540	1778930540	n	110
2	1	""	""	114	1778930540	1778930540	d	100
2	1	""	""	115	1778930540	1778930540	o	111
2	1	""	""	116	1778930540	1778930540	space	1047
2	1	""	""	117	1778930540	1778930540	a	97
2	1	""	""	118	1778930540	1778930540	space	1047
2	1	""	""	119	1778930541	1778930541	n	110
2	1	""	""	120	1778930541	1778930541	ç	231
2	1	""	""	121	1778930542	1778930542	backspace	1004
2	1	""	""	122	1778930543	1778930543	a	97
2	1	""	""	123	1778930543	1778930543	ç	231
2	1	""	""	124	1778930543	1778930543	~	126
2	1	""	""	125	1778930543	1778930543	a	97
2	1	""	""	126	1778930543	1778930543	o	111
2	1	""	""	127	1778930543	1778930543	space	1047
2	1	""	""	128	1778930543	1778930543	d	100
2	1	""	""	129	1778930543	1778930544	o	111
2	1	""	""	130	1778930544	1778930544	space	1047
2	1	""	""	131	1778930544	1778930544	f	102
2	1	""	""	132	1778930544	1778930544	o	111
2	1	""	""	133	1778930544	1778930544	g	103
2	1	""	""	134	1778930544	1778930544	o	111
2	1	""	""	135	1778930544	1778930544	space	1047
2	1	""	""	136	1778930545	1778930545	a	97
2	1	""	""	137	1778930545	1778930545	t	116
2	1	""	""	138	1778930545	1778930545	a	97
2	1	""	""	139	1778930545	1778930545	c	99
2	1	""	""	140	1778930545	1778930545	o	111
2	1	""	""	141	1778930545	1778930545	u	117
2	1	""	""	142	1778930559	1778930559		46
2	1	""	""	143	1778930560	1778930560	enter	1014
2	1	""	""	144	1778930560	1778930560	shift	1045
2	1	""	""	145	1778930560	1778930560	S	83
2	1	""	""	146	1778930561	1778930561	+	43
2	1	""	""	147	1778930561	1778930561	backspace	1004
2	1	""	""	148	1778930561	1778930561	´	180
2	1	""	""	149	1778930562	1778930562	o	111
2	1	""	""	150	1778930562	1778930562	space	1047
2	1	""	""	151	1778930562	1778930562	o	111
2	1	""	""	152	1778930562	1778930562	space	1047
2	1	""	""	153	1778930562	1778930562	a	97
2	1	""	""	154	1778930562	1778930562	v	118
2	1	""	""	155	1778930563	1778930563	a	97
2	1	""	""	156	1778930563	1778930563	t	116
2	1	""	""	157	1778930563	1778930563	a	97
2	1	""	""	158	1778930563	1778930563	r	114
2	1	""	""	159	1778930564	1778930564	,	44
2	1	""	""	160	1778930564	1778930564	space	1047
2	1	""	""	161	1778930564	1778930564	s	115
2	1	""	""	162	1778930564	1778930564	e	101
2	1	""	""	163	1778930564	1778930564	n	110
2	1	""	""	164	1778930564	1778930565	h	104
2	1	""	""	165	1778930565	1778930565	o	111
2	1	""	""	166	1778930565	1778930565	r	114
2	1	""	""	167	1778930565	1778930565	space	1047
2	1	""	""	168	1778930565	1778930565	d	100
2	1	""	""	169	1778930565	1778930565	o	111
2	1	""	""	170	1778930565	1778930565	s	115
2	1	""	""	171	1778930565	1778930565	space	1047
2	1	""	""	172	1778930566	1778930566	4	52
2	1	""	""	173	1778930566	1778930566	space	1047
2	1	""	""	174	1778930566	1778930566	e	101
