2026-05-02 12:00:05.983978 | SpecialKeyReleased | Key.enter
2026-05-02 12:00:08.941504 | KeyPressed | d
2026-05-02 12:00:09.074647 | KeyReleased | d
2026-05-02 12:00:09.135722 | KeyPressed | k
2026-05-02 12:00:09.210789 | KeyReleased | k
2026-05-02 12:00:09.486563 | KeyPressed | b
2026-05-02 12:00:09.526529 | KeyReleased | b
2026-05-02 12:00:09.621103 | KeyPressed | a
2026-05-02 12:00:09.625779 | KeyPressed | w
2026-05-02 12:00:09.666358 | KeyReleased | a
2026-05-02 12:00:09.739683 | KeyPressed | u
2026-05-02 12:00:09.773594 | KeyReleased | w
2026-05-02 12:00:09.818849 | KeyReleased | u
2026-05-02 12:00:09.906499 | KeyPressed | f
2026-05-02 12:00:10.069728 | KeyReleased | f
2026-05-02 12:00:10.117107 | KeyPressed | j
2026-05-02 12:00:10.161484 | KeyPressed | a
2026-05-02 12:00:10.247587 | KeyReleased | j
2026-05-02 12:00:10.252407 | KeyPressed | n
2026-05-02 12:00:10.319307 | KeyReleased | n
2026-05-02 12:00:10.322832 | KeyPressed | e
2026-05-02 12:00:10.374174 | KeyReleased | a
2026-05-02 12:00:10.398485 | KeyPressed | f
2026-05-02 12:00:10.453387 | KeyReleased | e
2026-05-02 12:00:10.523003 | KeyReleased | f
2026-05-02 12:00:10.574721 | KeyPressed | a
2026-05-02 12:00:10.623854 | KeyPressed | e
2026-05-02 12:00:10.659542 | KeyReleased | a
2026-05-02 12:00:10.663197 | KeyPressed | f
2026-05-02 12:00:10.713235 | KeyReleased | e
2026-05-02 12:00:10.763444 | KeyReleased | f
2026-05-02 12:00:10.777918 | KeyPressed | a
2026-05-02 12:00:10.781265 | KeyPressed | u
2026-05-02 12:00:10.783019 | KeyPressed | o
2026-05-02 12:00:10.865196 | KeyReleased | o
2026-05-02 12:00:10.889595 | KeyReleased | u
2026-05-02 12:00:10.909749 | KeyReleased | a
2026-05-02 12:00:10.911521 | KeyPressed | e
2026-05-02 12:00:10.929488 | KeyPressed | f
2026-05-02 12:00:10.950420 | KeyReleased | e
2026-05-02 12:00:11.018223 | KeyReleased | f
2026-05-02 12:00:17.303571 | SpecialKeyPressed | Key.ctrl_l
2026-05-02 12:00:17.778433 | SpecialKeyReleased | Key.ctrl_l
